genre1,genre2,count
progressive,eastern,12
progressive,post-hardcore,12
melodic,shred,12
metalcore,rock,12
metalcore,folk,12
sludge,ambient,12
sludge,funeral,12
black,acoustic,12
black,neofolk,12
black,celtic,12
raw,atmospheric,12
crossover,rock,12
atmospheric,raw,12
hard,psychedelic,12
ambient,sludge,12
ambient,darkwave,12
folk,middle,12
folk,metalcore,12
symphonic,avant-garde,12
funeral,sludge,12
shred,melodic,12
noise,experimental,12
epic,viking,12
psychedelic,hard,12
viking,epic,12
avant-garde,rock,12
avant-garde,symphonic,12
funk,thrash,12
nwobhm,rock,12
post-hardcore,progressive,12
middle,progressive,12
middle,folk,12
eastern,progressive,12
neofolk,black,12
celtic,black,12
darkwave,ambient,12
blues,rock,12
thrash,thrashcore,11
blackened,symphonic,11
stoner,drone,11
rock,ambient,11
rock,electronic,11
progressive,psychedelic,11
melodic,epic,11
melodic,ambient,11
grindcore,powerviolence,11
black,darkwave,11
speed,hard,11
atmospheric,post-hardcore,11
hard,speed,11
hard,folk,11
gothic,avant-garde,11
gothic,darkwave,11
ambient,rock,11
ambient,melodic,11
folk,hard,11
symphonic,electronic,11
symphonic,blackened,11
powerviolence,grindcore,11
drone,stoner,11
extreme,avant-garde,11
electronic,symphonic,11
electronic,rock,11
epic,melodic,11
psychedelic,progressive,11
avant-garde,gothic,11
avant-garde,extreme,11
post-hardcore,atmospheric,11
darkwave,gothic,11
darkwave,black,11
thrashcore,thrash,11
death,psychedelic,10
thrash,crustcore,10
thrash,avant-garde,10
brutal,experimental,10
experimental,technical,10
experimental,brutal,10
experimental,heavy,10
industrial,atmospheric,10
heavy,experimental,10
stoner,post-metal,10
stoner,hardcore,10
stoner,black,10
progressive,electronic,10
melodic,sludge,10
melodic,neoclassical,10
metalcore,crossover,10
technical,experimental,10
power,viking,10
sludge,melodic,10
black,medieval,10
black,stoner,10
southern,hard,10
crossover,metalcore,10
atmospheric,industrial,10
post-metal,stoner,10
hard,southern,10
gothic,electronic,10
ambient,neoclassical,10
folk,dark,10
symphonic,dark,10
hardcore,stoner,10
shred,fusion,10
noise,punk,10
dark,symphonic,10
dark,folk,10
electronic,progressive,10
electronic,gothic,10
psychedelic,death,10
viking,power,10
punk,noise,10
avant-garde,thrash,10
neoclassical,ambient,10
neoclassical,melodic,10
medieval,black,10
fusion,shred,10
crustcore,thrash,10
death,post-rock,9
death,rac,9
thrash,dark,9
thrash,shred,9
doom,post-black,9
experimental,atmospheric,9
experimental,drone,9
industrial,metalcore,9
heavy,grunge,9
heavy,atmospheric,9
stoner,punk,9
rock,aor,9
rock,fusion,9
progressive,post-black,9
progressive,hardcore,9
metalcore,symphonic,9
metalcore,industrial,9
grindcore,goregrind,9
atmospheric,avant-garde,9
atmospheric,experimental,9
atmospheric,heavy,9
atmospheric,pagan,9
hard,glam,9
gothic,epic,9
ambient,post-black,9
goregrind,grindcore,9
symphonic,metalcore,9
drone,experimental,9
hardcore,progressive,9
shred,thrash,9
aor,rock,9
post-rock,death,9
dark,thrash,9
post-black,progressive,9
post-black,doom,9
post-black,ambient,9
epic,gothic,9
punk,stoner,9
avant-garde,atmospheric,9
pagan,atmospheric,9
fusion,rock,9
rac,death,9
rac,oi!,9
oi!,rac,9
grunge,heavy,9
glam,hard,9
death,drone,8
death,middle,8
death,eastern,8
death,post-black,8
death,post-metal,8
blackened,crust,8
blackened,metalcore,8
doom,grunge,8
doom,electronic,8
doom,post-hardcore,8
brutal,melodic,8
brutal,hardcore,8
experimental,gothic,8
experimental,stoner,8
industrial,avant-garde,8
heavy,blues,8
heavy,oi!,8
heavy,various,8
stoner,experimental,8
rock,noise,8
rock,post-black,8
melodic,brutal,8
melodic,electronic,8
melodic,nu-metal,8
metalcore,blackened,8
power,electronic,8
sludge,crossover,8
sludge,avant-garde,8
black,extreme,8
crossover,sludge,8
atmospheric,funeral,8
post-metal,drone,8
post-metal,death,8
hard,nwobhm,8
gothic,experimental,8
symphonic,viking,8
funeral,atmospheric,8
drone,post-metal,8
drone,death,8
hardcore,brutal,8
extreme,black,8
crust,blackened,8
noise,rock,8
electronic,melodic,8
electronic,power,8
electronic,doom,8
post-black,rock,8
post-black,death,8
viking,symphonic,8
avant-garde,sludge,8
avant-garde,industrial,8
nwobhm,hard,8
post-hardcore,doom,8
middle,death,8
eastern,death,8
oi!,heavy,8
various,heavy,8
grunge,doom,8
nu-metal,melodic,8
blues,heavy,8
death,djent,7
